Motor 1,Motor 2,Motor 3,X,Y,Z
0,0,0,0,0,-274.100
1,0,0,0,2.623,-274.670
0,1,0,-2.271,-1.311,-274.670
0,0,1,2.271,-1.311,-274.670
1,1,0,-2.276,1.314,-275.254
0,1,1,0,-2.628,-275.254
1,0,1,2.276,1.314,-275.254
1,1,1,0,0,-275.852
2,0,0,0,5.26,-275.217
2,0,1,2.281,3.954,-275.815
2,1,0,-2.281,3.954,-275.815
2,1,1,0,2.643,-276.427
2,2,1,-2.294,1.324,-277.015
0,2,0,-4.556,-2.63,-275.217
1,2,0,-4.565,-0.002,-275.815
1,2,1,-2.289,-1.322,-276.427
1,2,2,0,-2.648,-277.015
0,0,2,4.556,-2.63,-275.217
1,0,2,4.565,-0.002,-275.815
1,1,2,2.289,-1.322,-276.427
2,1,2,2.294,1.324,-277.015
2,2,2,0,0,-277.617
3,0,0,0,7.912,-275.741
3,0,1,2.285,6.609,-276.352
3,1,0,-2.285,6.609,-276.352
3,1,1,0,5.301,-276.977
3,2,1,-2.298,3.985,-277.579
3,2,2,0,2.664,-278.196
3,2,3,2.311,1.334,-278.788
0,3,0,-6.852,-3.956,-275.741
0,0,3,6.852,-3.956,-275.741
1,3,0,-6.866,-1.326,-276.352
1,3,1,-4.591,-2.651,-276.977
2,3,1,-4.6,-0.002,-277.579
2,3,2,-2.307,-1.332,-278.196
3,3,2,-2.311,1.334,-278.788
1,0,3,6.866,-1.326,-276.352
1,1,3,4.591,-2.651,-276.977
2,1,3,4.6,-0.002,-277.579
2,2,3,2.307,-1.332,-278.196
3,2,3,2.311,1.334,-278.788
3,3,3,0,0,-279.395
4,0,0,0,10.578,-276.241
4,1,0,-2.289,9.279,-276.865
4,0,1,2.289,9.279,-276.865
4,1,1,0,7.974,-277.504
4,0,2,4.591,7.971,-277.467
4,2,0,-4.591,7.971,-277.467
4,2,1,-2.302,6.661,-278.120
4,2,2,0,5.342,-278.750
4,1,2,2.302,6.661,-278.120
4,3,0,-6.906,6.655,-278.045
4,0,3,6.906,6.655,-278.045
4,3,1,-4.617,5.339,-278.712
4,3,2,-2.315,4.016,-279.356
4,1,3,4.617,5.339,-278.712
4,2,3,2.315,4.016,-279.356
4,3,3,0,2.684,-279.977
4,4,3,-2.329,1.344,-280.573
0,4,0,-9.161,-5.289,-276.241
1,4,0,-9.18,-2.657,-276.865
0,4,1,-6.891,-6.622,-276.865
1,4,1,-6.905,-3.987,-277.504
2,4,0,-9.199,-0.009,-277.467
2,4,1,-6.919,-1.336,-278.120
2,4,2,-4.626,-2.671,-278.750
0,4,2,-4.607,-7.962,-277.467
1,4,2,-4.617,-5.324,-278.120
0,4,3,-2.31,-9.308,-278.045
0,4,4,0,-10.661,-278.599
0,4,5,2.324,-12.021,-279.128
1,4,3,-2.315,-6.668,-278.712
1,4,4,0,-8.02,-279.280
1,4,5,2.328,-9.378,-279.824
2,4,3,-2.32,-4.013,-279.356
2,4,4,0,-5.362,-279.939
2,4,5,2.333,-6.718,-280.497
3,4,0,-9.216,2.653,-278.045
3,4,1,-6.933,1.329,-278.712
3,4,2,-4.635,-0.003,-279.356
3,4,3,-2.324,-1.342,-279.977
3,4,4,0,-2.689,-280.573
3,4,5,2.338,-4.043,-281.145
4,4,0,-9.233,5.331,-278.599
4,4,1,-6.945,4.01,-279.280
4,4,2,-4.644,2.681,-279.939
4,4,3,-2.329,1.344,-280.573
4,4,4,0,0,-281.184
4,4,5,2.342,-1.352,-281.770
5,4,0,-9.249,8.023,-279.128
5,4,1,-6.957,-6.957,-279.824
5,4,2,-4.652,5.38,-280.497
5,4,3,-2.333,4.046,-281.145
5,4,4,0,2.704,-281.770
5,4,5,2.346,1.354,-282.370
0,0,5,11.482,-6.629,-276.716
1,0,5,11.506,-3.995,-277.354
0,1,5,9.213,-7.967,-277.354
1,1,5,9.233,-5.33,-278.007
2,0,5,11.529,-1.346,-277.969
2,1,5,9.251,-2.678,-278.637
2,2,5,6.959,-4.018,-279.280
2,3,5,4.653,-5.364,-279.901
2,4,5,2.333,-6.718,-280.497
2,5,5,0,-8.079,-281.068
3,0,5,11.551,1.319,-278.561
3,1,5,9.269,-0.01,-279.242
3,2,5,6.972,-1.347,-279.901
3,3,5,4.662,-2.691,-280.535
3,4,5,2.338,-4.043,-281.145
3,5,5,0,-5.402,-281.731
4,0,5,11.572,3.998,-279.128
4,1,5,9.286,2.672,-279.824
4,2,5,6.985,1.339,-280.497
4,3,5,4.67,-0.003,-281.145
4,4,5,2.342,-1.352,-281.770
4,5,5,0,-2.709,-282.370
5,0,5,11.592,6.693,-279.671
5,1,5,9.302,5.37,-280.382
5,2,5,6.997,4.04,-281.068
5,3,5,4.678,2.701,-281.731
5,4,5,2.346,1.354,-282.370
5,5,5,0,0,-282.985
6,0,0,0,15.953,-277.167
6,1,0,-2.297,14.66,-277.819
6,0,1,2.297,14.66,-277.819
6,1,1,0,13.362,-278.485
6,0,2,4.607,13.359,-278.448
6,1,2,2.31,12.055,-279.129
6,2,1,-2.31,12.055,-279.129
6,2,2,0,10.743,-279.786
6,0,3,6.929,12.049,-279.052
6,1,3,4.633,10.74,-279.748
6,2,3,2.323,9.422,-280.420
6,3,3,0,8.097,-281.068
6,4,3,-2.336,6.763,-281.693
6,5,3,-4.686,5.42,-282.293
6,0,4,9.264,10.73,-279.633
6,1,4,6.969,9.416,-280.343
6,2,4,4.659,8.093,-281.030
6,3,4,2.336,6.763,-281.693
